,Unnamed: 0,title,author,release year,book length,rating,number of ratings
363,363,The Guernsey Literary and Potato Peel Pie Society (Paperback),Mary Ann Shaffer,2008,291.0,4.18,698006
364,364,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,2000,368.0,3.68,705542
367,367,Let it Snow (Kindle Edition),John Green,2008,353.0,3.71,136871
369,369,"The Road Trip (The Road Trip, #1)",Beth O'Leary,2021,414.0,3.61,63228
370,370,"The Wedding (The Notebook, #2)",Nicholas Sparks,2003,276.0,3.98,151092
371,371,The Best of Me (Hardcover),Nicholas Sparks,2010,292.0,3.96,161814
372,372,The Choice (Kindle Edition),Nicholas Sparks,2007,325.0,4.0,166400
373,373,The Honey-Don't List (Paperback),Christina Lauren,2020,308.0,3.52,51909
374,374,"Naked in Death (In Death, #1)",J.D. Robb,1995,306.0,4.12,181828
375,375,To Love Jason Thorn (Kindle Edition),Ella Maise,2015,428.0,3.85,79607
376,376,Under Locke (Kindle Edition),Mariana Zapata,2014,497.0,3.98,70425
377,377,"Blood Promise (Vampire Academy, #4)",Richelle Mead,2009,503.0,4.31,299530
378,378,"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas,2009,373.0,4.17,41823
379,379,Kiss an Angel (Paperback),Susan Elizabeth Phillips,1996,384.0,4.19,58552
380,380,"Captive Prince (Captive Prince, #1)",C.S. Pacat,2013,240.0,3.81,79264
386,386,"The Risk (Briar U, #2)",Elle Kennedy,2019,432.0,4.28,87793
387,387,"One Good Earl Deserves a Lover (The Rules of Scoundrels, #2)",Sarah MacLean,2013,376.0,4.03,29368
390,390,"The Dating Plan (Marriage Game, #2)",Sara Desai,2021,352.0,3.66,34929
391,391,Honey Girl (Kindle Edition),Morgan  Rogers,2021,241.0,3.74,33312
392,392,"Dreaming of You (The Gamblers of Craven's, #2)",Lisa Kleypas,1994,373.0,4.18,40674
393,393,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,2010,432.0,4.0,307676
395,395,"Devil in Spring (The Ravenels, #3)",Lisa Kleypas,2017,288.0,4.09,34046
396,396,Nights in Rodanthe (Paperback),Nicholas Sparks,2002,222.0,3.84,164417
397,397,"Dance Upon the Air (Three Sisters Island, #1)",Nora Roberts,2001,400.0,4.2,68172
398,398,"The Distance Between Us (Old Town Shops, #1)",Kasie West,2013,320.0,3.92,75238
399,399,"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey,2020,336.0,3.67,42780
401,401,"The Wedding Party (The Wedding Date, #3)",Jasmine Guillory,2019,351.0,3.78,44329
402,402,Love Lettering (Paperback),Kate Clayborn,2019,307.0,3.7,39426
403,403,"Dash & Lily's Book of Dares (Dash & Lily, #1)",Rachel Cohn,2010,260.0,3.76,90591
405,405,The Bookish Life of Nina Hill (Kindle Edition),Abbi Waxman,2019,351.0,3.82,87372
408,408,"Fantasy Lover (Hunter Legends, #1)",Sherrilyn Kenyon,2002,337.0,4.15,90374
410,410,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,2010,489.0,4.33,281912
414,414,To Kill a Kingdom (Hardcover),Alexandra Christo,2018,344.0,3.8,136587
420,420,North and South (Paperback),Elizabeth Gaskell,1854,521.0,4.14,158995
421,421,The Rescue (Paperback),Nicholas Sparks,2000,352.0,4.12,190495
422,422,"Jewels of the Sun (Gallaghers of Ardmore, #1)",Nora Roberts,1999,347.0,4.22,63123
423,423,The Bodyguard (Hardcover),Katherine Center,2022,320.0,4.13,46261
424,424,Uprooted (Hardcover),Naomi Novik,2015,438.0,4.05,209681
426,426,"The Secret Diaries of Miss Miranda Cheever (Bevelstoke, #1)",Julia Quinn,2007,373.0,3.89,40314
